04_18-01-23-00-181402,04_18-01-22-43-891126
04_18-01-23-04-236764,04_18-01-22-47-957877
04_18-01-23-08-319345,04_18-01-22-52-044045
04_18-01-23-12-385243,04_18-01-22-56-102457
04_18-01-23-44-824066,04_18-01-23-12-385243
04_18-01-23-52-957250,04_18-01-23-16-432661
04_18-01-24-05-142190,04_18-01-23-20-487932
04_18-01-24-09-206894,04_18-01-23-24-533537
04_18-01-24-13-276629,04_18-01-23-28-580124
04_18-01-24-21-389163,04_18-01-23-32-628519
04_18-01-24-37-776811,04_18-01-23-36-679105
04_18-01-24-41-854630,04_18-01-23-40-774413
04_18-01-24-45-887307,04_18-01-23-48-912604
04_18-01-24-58-042595,04_18-01-23-57-003155
04_18-01-25-18-366528,04_18-01-24-01-091104
04_18-01-25-22-438129,04_18-01-24-09-206894
04_18-01-25-26-502078,04_18-01-24-17-329275
04_18-01-25-38-638861,04_18-01-24-25-446470
04_18-01-25-50-809404,04_18-01-24-29-593319
04_18-01-26-02-991042,04_18-01-24-33-700641
04_18-01-26-23-328869,04_18-01-24-37-776811
04_18-01-26-31-505198,04_18-01-24-49-925294
04_18-01-26-35-562345,04_18-01-24-53-989459
04_18-01-26-39-616534,04_18-01-24-58-042595
04_18-01-26-43-684752,04_18-01-25-02-092200
04_18-01-26-47-736604,04_18-01-25-06-189170
04_18-01-26-55-838771,04_18-01-25-10-254819
04_18-01-26-59-889962,04_18-01-25-14-317061
04_18-01-27-08-005385,04_18-01-25-30-541974
04_18-01-27-12-064769,04_18-01-25-34-582800
04_18-01-27-16-098863,04_18-01-25-42-683203
04_18-01-27-20-183432,04_18-01-25-54-870339
04_18-01-27-24-245014,04_18-01-25-58-923002
04_18-01-27-28-297587,04_18-01-26-07-049720
04_18-01-27-32-370940,04_18-01-26-11-121391
04_18-01-27-36-410000,04_18-01-26-15-180221
04_18-01-27-52-671198,04_18-01-26-19-265995
04_18-01-28-00-818135,04_18-01-26-27-397362
04_18-01-28-04-885687,04_18-01-26-31-505198
04_18-01-28-08-954335,04_18-01-27-03-958959
04_18-01-28-13-017167,04_18-01-27-24-245014
04_18-01-28-17-090749,04_18-01-27-28-297587
04_18-01-28-25-228028,04_18-01-27-48-607886
04_18-01-28-57-756940,04_18-01-28-53-681092
04_18-01-29-05-899318,04_18-01-29-01-831463
04_18-01-29-09-969734,04_18-01-29-05-899318
04_18-01-29-14-060596,04_18-01-29-09-969734
04_18-01-29-22-190832,04_18-01-29-22-190832
04_18-01-30-43-584496,04_18-01-30-39-531522
04_18-01-31-40-510730,04_18-01-31-32-359363
04_18-01-32-04-943965,04_18-01-31-36-421278
04_18-01-32-09-017319,04_18-01-31-40-510730
04_18-01-32-33-685318,04_18-01-31-44-569317
04_18-01-32-37-750735,04_18-01-31-48-639857
04_18-01-32-45-845251,04_18-01-31-52-710956
04_18-01-32-53-961562,04_18-01-32-00-873573
04_18-01-32-58-010541,04_18-01-32-13-082078
04_18-01-33-06-102292,04_18-01-32-17-164683
04_18-01-33-22-380478,04_18-01-32-21-226613
04_18-01-33-26-421078,04_18-01-32-25-310478
04_18-01-33-42-631724,04_18-01-32-29-382709
04_18-01-33-46-693120,04_18-01-32-49-901950
04_18-01-33-54-843734,04_18-01-32-53-961562
04_18-01-33-58-884804,04_18-01-33-02-055942
04_18-01-34-15-058719,04_18-01-33-10-160141
04_18-01-34-27-238588,04_18-01-33-14-227531
04_18-01-34-39-398998,04_18-01-33-18-273752
04_18-01-34-55-594185,04_18-01-33-30-458460
04_18-01-34-59-653867,04_18-01-33-38-553990
04_18-01-35-03-696644,04_18-01-33-50-798907
04_18-01-35-11-823612,04_18-01-33-54-843734
04_18-01-35-36-172531,04_18-01-34-02-920467
04_18-01-35-40-233568,04_18-01-34-06-969300
04_18-01-35-44-282889,04_18-01-34-11-011257
04_18-01-35-52-448282,04_18-01-34-15-058719
04_18-01-35-56-498140,04_18-01-34-19-138002
04_18-01-36-00-576906,04_18-01-34-23-188572
04_18-01-36-08-680064,04_18-01-34-31-280694
04_18-01-36-12-738858,04_18-01-34-35-345062
04_18-01-36-24-948953,04_18-01-34-43-456603
04_18-01-36-29-036795,04_18-01-34-47-509949
04_18-01-36-33-080175,04_18-01-34-51-543940
04_18-01-36-37-159568,04_18-01-35-07-780311
04_18-01-36-41-213774,04_18-01-35-15-896111
04_18-01-36-49-284580,04_18-01-35-19-939666
04_18-01-36-57-396271,04_18-01-35-28-072047
04_18-01-37-05-517626,04_18-01-35-32-122721
04_18-01-37-17-708344,04_18-01-35-48-331845
04_18-01-37-21-946217,04_18-01-36-04-617831
04_18-01-37-30-062836,04_18-01-36-12-738858
04_18-01-37-34-116854,04_18-01-36-16-789354
04_18-01-37-38-176091,04_18-01-36-20-884371
04_18-01-37-42-231688,04_18-01-36-29-036795
04_18-01-37-46-283856,04_18-01-36-33-080175
04_18-01-37-50-331322,04_18-01-36-45-250358
04_18-01-37-54-383145,04_18-01-37-46-283856
04_18-01-38-10-681609,04_18-01-38-06-579525
04_18-01-38-22-816700,04_18-01-38-14-741846
04_18-01-38-26-850299,04_18-01-38-18-782924
04_18-01-38-34-924630,04_18-01-38-26-850299
04_18-01-38-38-960329,04_18-01-38-30-880197
04_18-01-38-43-000247,04_18-01-38-34-924630
04_18-01-38-59-193392,04_18-01-38-51-101966
04_18-01-39-11-409296,04_18-01-38-55-154732
04_18-01-39-31-652601,04_18-01-38-59-193392
04_18-01-39-35-703443,04_18-01-39-03-251864
04_18-01-39-39-749878,04_18-01-39-07-362240
04_18-01-39-47-876838,04_18-01-39-15-453229
04_18-01-40-00-033381,04_18-01-39-19-497663
04_18-01-40-08-151888,04_18-01-39-23-534071
04_18-01-40-12-204937,04_18-01-39-43-799414
04_18-01-40-16-264713,04_18-01-39-51-930785
04_18-01-40-20-332254,04_18-01-39-55-973039
04_18-01-40-28-447014,04_18-01-40-04-083568
04_18-01-40-32-504430,04_18-01-40-08-151888
04_18-01-41-29-428995,04_18-01-41-25-370900
04_18-01-41-41-591387,04_18-01-41-33-492072
04_18-01-41-45-651118,04_18-01-41-37-532615
04_18-01-41-53-827780,04_18-01-41-45-651118
04_18-01-41-57-886154,04_18-01-41-49-718968
04_18-01-42-01-952048,04_18-01-42-01-952048
04_18-01-42-10-091526,04_18-01-42-06-021110
04_18-01-42-34-491586,04_18-01-42-26-363898
04_18-01-42-38-547946,04_18-01-42-30-443098
04_18-01-42-42-624967,04_18-01-42-34-491586
04_18-01-42-50-709502,04_18-01-42-50-709502
04_18-01-43-02-890301,04_18-01-42-54-781702
04_18-01-43-06-958538,04_18-01-42-58-827445
04_18-01-43-19-148786,04_18-01-43-11-041178
04_18-01-43-23-228136,04_18-01-43-15-088469
04_18-01-43-27-293923,04_18-01-43-19-148786
04_18-01-43-35-421923,04_18-01-43-23-228136
04_18-01-43-39-480643,04_18-01-43-31-361487
04_18-01-43-59-817497,04_18-01-43-51-704868
04_18-01-44-07-927383,04_18-01-43-55-767868
04_18-01-44-32-342911,04_18-01-43-59-817497
04_18-01-44-36-399616,04_18-01-44-03-886484
04_18-01-44-40-459520,04_18-01-44-11-993885
04_18-01-44-48-570582,04_18-01-44-16-059577
04_18-01-44-56-683022,04_18-01-44-20-112868
04_18-01-45-08-847175,04_18-01-44-24-196620
04_18-01-45-21-055981,04_18-01-44-28-263596
04_18-01-45-25-098578,04_18-01-44-32-342911
04_18-01-45-29-173160,04_18-01-44-44-508215
04_18-01-45-33-232039,04_18-01-44-52-629368
04_18-01-45-37-302650,04_18-01-44-56-683022
04_18-01-45-45-430302,04_18-01-45-00-734675
04_18-01-45-49-469812,04_18-01-45-04-778257
04_18-01-45-53-581440,04_18-01-45-12-921526
04_18-01-45-57-693849,04_18-01-45-16-991889
